"Time"	"BTC / USD Denominated Closing Price"	"BTC / MVRV (Market Cap / Realized Market Cap)"	"BTC / 30 Day Volatility"	"BTC / 180 Day Volatility"
"2010-09-10"	0.0610115242548218	4.74669508	0.031037425831566653
"2010-09-11"	0.0636208649912332	4.91061134	0.030938959253844146
"2010-09-12"	0.0615	4.69699949	0.02781803143336271
"2010-09-13"	0.06218	4.70641545	0.026916475165210563
"2010-09-14"	0.06199	4.64512859	0.026467759301762785
"2010-09-15"	0.0604	4.45428881	0.02679321528474052
"2010-09-16"	0.0619	4.47633904	0.02401161483479113
"2010-09-17"	0.0600005260081823	4.19274776	0.024092667354345305
"2010-09-18"	0.061	4.22048014	0.024204369065682876
"2010-09-19"	0.0627	4.29534109	0.024647893613220645
"2010-09-20"	0.0621017358270018	4.22043399	0.024521669831162343
"2010-09-21"	0.06265	4.22602175	0.024584252750614287
"2010-09-22"	0.061881870251315	4.14162414	0.024528243742349264
"2010-09-23"	0.062153512565751	4.11497371	0.024546866727123473
"2010-09-24"	0.0622	4.07954667	0.02454827522374586
"2010-09-25"	0.06202	4.03278411	0.024479574941215318
"2010-09-26"	0.062	4.00070639	0.0243069125246493
"2010-09-27"	0.0622004418468732	3.91751164	0.02430619036066162
"2010-09-28"	0.0619038977206312	3.70318762	0.024268254852850377
"2010-09-29"	0.06191	3.67369778	0.024077897755976865
"2010-09-30"	0.0619	3.58697479	0.019050455140943633
"2010-10-01"	0.0619733138515488	3.57218676	0.01805820307856526
"2010-10-02"	0.0614	3.26607208	0.017644115692945942
"2010-10-03"	0.0610648684979544	3.2380791	0.015981292004462345
"2010-10-04"	0.0612944769140853	3.23417646	0.01547859733889631
"2010-10-05"	0.0614	3.17003606	0.015407633061294461
"2010-10-06"	0.06281	3.22421336	0.01596032899076439
"2010-10-07"	0.067	3.40312006	0.019710176880396887
"2010-10-08"	0.0844531081239041	4.14833833	0.04608334653885841
"2010-10-09"	0.0938	4.40766563	0.04913438184972137
"2010-10-10"	0.0971462010520164	4.45879954	0.04918042820663387
"2010-10-11"	0.095	4.28117529	0.049390057428619745
"2010-10-12"	0.0949	4.2360293	0.048664761308424134
"2010-10-13"	0.104865589129164	4.55044647	0.05109046126835466
"2010-10-14"	0.102	4.35844526	0.05162651583417993
"2010-10-15"	0.105	4.34353862	0.05103512821422154
"2010-10-16"	0.101	4.06985428	0.052074877896576555
"2010-10-17"	0.102	4.06277933	0.05131805420251157
"2010-10-18"	0.1024	4.02994877	0.05137951624058704
"2010-10-19"	0.0975448918760959	3.80761656	0.05271704994803755
"2010-10-20"	0.099	3.8186494	0.05251675532726795
"2010-10-21"	0.107	4.00919854	0.05370503591235071
"2010-10-22"	0.1025	3.82096178	0.05458252630105767
"2010-10-23"	0.104556424313267	3.85485171	0.05453401328405236
"2010-10-24"	0.11501	4.14384219	0.05624717386514293
"2010-10-25"	0.139118552893045	4.88883386	0.0640031569758938
"2010-10-26"	0.151	5.14523738	0.06455553948150138
"2010-10-27"	0.1877	6.05058402	0.07285519164550594
"2010-10-28"	0.1731	5.2615273	0.07563060551353873
"2010-10-29"	0.19	5.63366942	0.07608742104738518
"2010-10-30"	0.197610543541789	5.72124637	0.0757564397379979
"2010-10-31"	0.1925	5.43761091	0.0763863809753752
"2010-11-01"	0.194525061367621	5.41406405	0.0760509460980235
"2010-11-02"	0.1938	5.28311477	0.0760169810114455
"2010-11-03"	0.1931	5.18370173	0.07614496422227982
"2010-11-04"	0.229275160724722	5.7153824	0.07958047639917507
"2010-11-05"	0.259112413793104	6.25148898	0.08073533866725711
"2010-11-06"	0.400982302746932	8.19405221	0.10760045759717654
"2010-11-07"	0.34	6.73312638	0.11008335664400645
"2010-11-08"	0.243184628872005	4.59520726	0.12960533605252123
"2010-11-09"	0.217272694330801	4.06257605	0.13225478150601844
"2010-11-10"	0.229549731151373	4.25825739	0.1320165934772402
"2010-11-11"	0.2231	4.10381259	0.1323297017068854
"2010-11-12"	0.2682	4.88620474	0.13476820154840016
"2010-11-13"	0.276	4.93212505	0.13430929133963782
"2010-11-14"	0.27904	4.88743661	0.13436904743422773
"2010-11-15"	0.268464555815313	4.51276218	0.13436532108485905
"2010-11-16"	0.225	3.76028119	0.13966191054985944
"2010-11-17"	0.241939333722969	4.00641517	0.13984380478043273
"2010-11-18"	0.269057790765634	4.39720823	0.139751865386948
"2010-11-19"	0.27829	4.48312449	0.1397057854825816
"2010-11-20"	0.283015964932788	4.49841005	0.13949773833966697
"2010-11-21"	0.27675	4.36944711	0.13916446212431197
"2010-11-22"	0.285	4.46021601	0.13914408212947096
"2010-11-23"	0.28295	4.38599831	0.13883075440452608
"2010-11-24"	0.282905736411455	4.33600482	0.13556399412937312
"2010-11-25"	0.28	4.23185505	0.13524220777489931
